Activity Title,Activity Type
Jogging at the track,sports
Exploring a rainforest,travel
Theme party celebration,party
Conference attendance,formal
Relaxing at a cafe,casual
Having lunch with friends,casual
Brunch at a trendy spot,smart casual
Gardening in the backyard,home
Housewarming party,party
Organizing the closet,home
Watching a street performance,casual
Casual office day,smart casual
Baking bread,home
Business meeting,formal
Reading a book,home
Shopping at the mall,casual
Attending a cultural festival,ethnic
Signing contracts,formal
Trying traditional cuisines,ethnic
Practicing yoga at home,home
Stretching exercises,sports
Hiking in the mountains,travel
Meeting at a cafe,smart casual
Interview preparation,formal
Visiting a heritage site,ethnic
Giving a keynote speech,formal
Visiting a new city,travel
Walking in the park,casual
Attending a club,party
Gallery visit,smart casual
Dance rehearsal,party
Formal dinner,formal
Sightseeing at landmarks,travel
Learning a folk instrument,ethnic
Experiencing local traditions,travel
Wedding reception,party
Strolling along the beach,casual
Cooking a meal,home
Wearing traditional attire,ethnic
Yoga session at a park,sports
Networking event,smart casual
Casual client meeting,smart casual
Road trip adventure,travel
Swimming session,sports
Participating in a local dance,ethnic
Playing basketball,sports
Cycling through a trail,sports
Birthday celebration,party
Visiting a local cafe,casual
Picnic at the park,casual
Exploring a bookshop,casual
Watching a traditional performance,ethnic
Joining a community celebration,ethnic
Handcrafting ethnic items,ethnic
Presenting at a seminar,formal
Corporate networking event,formal
Hosting a professional workshop,formal
Decluttering the living room,home
Trying new recipes,home
Crafting homemade decorations,home
Celebrating a promotion,party
Attending a music festival,party
Socializing at a cocktail party,party
Lunch meeting with a colleague,smart casual
Attending an art workshop,smart casual
Weekend market stroll,smart casual
Playing volleyball,sports
Participating in a marathon,sports
Doing crossfit training,sports
Camping by the lake,travel
Exploring a desert,travel
Trekking through a jungle,travel
Hanging out at a coffee shop,casual
Window shopping downtown,casual
Listening to street musicians,casual
Enjoying a casual brunch,casual
Walking a dog in the neighborhood,casual
Relaxing by a lake,casual
Learning to cook traditional dishes,ethnic
Exploring a local temple,ethnic
Participating in a folk art class,ethnic
Attending a traditional wedding,ethnic
Dancing at a cultural event,ethnic
Visiting a traditional marketplace,ethnic
Leading a team meeting,formal
Attending a boardroom discussion,formal
Joining an executive summit,formal
Delivering a business proposal,formal
Representing a company at an expo,formal
Finalizing contract negotiations,formal
Organizing photo albums,home
Setting up a home office,home
Designing a DIY craft project,home
Rearranging furniture,home
Meditating in a quiet space,home
Watching a documentary,home
Organizing a karaoke night,party
Hosting a themed dinner party,party
Dancing at a rooftop event,party
Attending a masquerade ball,party
Celebrating a retirement party,party
Enjoying live DJ music at a lounge,party
Chatting over coffee with a friend,smart casual
Attending a casual lecture,smart casual
Shopping for boutique items,smart casual
Exploring an art gallery,smart casual
