Activity Title,Category
Practicing yoga,sports
Birthday celebration,party
Activity not specified,NA
Casual Friday at work,casual
Club night,party
Spontaneous decision,NA
Unplanned event,NA
Traveling by train,travel
Casual Friday at work,casual
Graduation celebration,party
Camping in the woods,travel
General task,NA
Cooking ethnic food,ethnic
Brunch with colleagues,smart casual
Learning traditional crafts,ethnic
Unplanned event,NA
Traveling by train,travel
Formal fundraising event,formal
Exploring a new city,travel
Corporate gala dinner,formal
Watching TV,home
Family game night,home
Gallery opening,smart casual
Hiking trip,travel
Undefined purpose,NA
Watching a folk dance performance,ethnic
Networking event,smart casual
Learning traditional crafts,ethnic
Camping in the woods,travel
Tennis match,sports
Beach vacation,travel
Formal fundraising event,formal
Wearing traditional attire for a celebration,ethnic
Ethnic music concert,ethnic
Signing a business contract,formal
Casual Friday at work,casual
Award ceremony,formal
Exploring a new city,travel
Daytime wedding,smart casual
Visiting a heritage site,ethnic
Working from home,home
Dancing at a cultural night,ethnic
Doing laundry,home
Going to the gym,sports
Meeting a friend,casual
Ethnic music concert,ethnic
General task,NA
Cycling in the park,sports
Watching a live game,sports
Strolling through a market,casual
Having a picnic,casual
Relaxing on the couch,home
Walking in the park,casual
Beach vacation,travel
Weekend getaway,travel
Organizing a closet,home
Going to the movies,casual
Visiting a café,casual
Window shopping,casual
Gallery opening,smart casual
Activity not specified,NA
Unplanned event,NA
Backpacking adventure,travel
Miscellaneous activity,NA
Spontaneous decision,NA
Beach vacation,travel
New Year's Eve party,party
Exploring a new city,travel
No specific activity,NA
Watching a folk dance performance,ethnic
Watching a live game,sports
Cleaning the house,home
Undefined purpose,NA
Watching a folk dance performance,ethnic
Anniversary party,party
Watching TV,home
Dinner at a fancy restaurant,smart casual
Graduation celebration,party
Visiting a historic site,travel
Backpacking adventure,travel
Book launch party,smart casual
Watching a live game,sports
Networking event,smart casual
Attending a cultural festival,ethnic
Strolling through a market,casual
Morning run,sports
Participating in a local tradition,ethnic
Window shopping,casual
Having a picnic,casual
Hiking trip,travel
Morning run,sports
Unplanned event,NA
Window shopping,casual
Cleaning the house,home
Practicing yoga,sports
Cleaning the house,home
Walking in the park,casual
Gallery opening,smart casual
Backpacking adventure,travel
Wedding reception,party
Job interview,formal
Tennis match,sports
Playing soccer,sports
Watching TV,home
Miscellaneous activity,NA
Window shopping,casual
Halloween party,party
Taking a cruise,travel
Hiking trip,travel
Weekend getaway,travel
Job interview,formal
Doing laundry,home
Graduation celebration,party
Ethnic music concert,ethnic
Visiting a café,casual
Strolling through a market,casual
Halloween party,party
Walking in the park,casual
Wedding reception,party
Daytime wedding,smart casual
Cycling in the park,sports
Walking in the park,casual
Practicing yoga,sports
